Game type,tableid,簡中(cn),英文(en),繁中(zh),印尼文(id),泰文(th),越南文(vi),韓文(ko),日文(ja),葡萄牙文
WEA_SLOT,SLOT-WEA_SLOT-FantasyDragons,龙之乡,FantasyDragons,龍之鄉,FantasyDragons,FantasyDragons,FantasyDragons,FantasyDragons,FantasyDragons,FantasyDragons
WEA_SLOT,SLOT-WEA_SLOT-SolomonsTreasure,所罗门宝藏,Solomon'sTreasure,所羅門寶藏,Solomon'sTreasure,Solomon'sTreasure,Solomon'sTreasure,Solomon'sTreasure,Solomon'sTreasure,Solomon'sTreasure
WEA_SLOT,SLOT-WEA_SLOT-DragonBoat2,龙舟2 锁好运,DragonBoat2Lock2Spin,龍舟2 鎖好運,DragonBoat2Lock2Spin,DragonBoat2Lock2Spin,DragonBoat2Lock2Spin,DragonBoat2Lock2Spin,DragonBoat2Lock2Spin,DragonBoat2Lock2Spin
WEA_SLOT,SLOT-WEA_SLOT-BigfootYeti,大脚雪怪,BigfootYeti,大腳雪怪,BigfootYeti,BigfootYeti,BigfootYeti,BigfootYeti,BigfootYeti,BigfootYeti
WEA_SLOT,SLOT-WEA_SLOT-HunterHelibu,猎人海力布,HunterHelibu,獵人海力布,HunterHelibu,HunterHelibu,HunterHelibu,HunterHelibu,HunterHelibu,HunterHelibu
WEA_SLOT,SLOT-WEA_SLOT-ShaolinLegend,少林传奇,ShaolinLegend,少林傳奇,ShaolinLegend,ShaolinLegend,ShaolinLegend,ShaolinLegend,ShaolinLegend,ShaolinLegend
WEA_SLOT,SLOT-WEA_SLOT-MagicianHouse,魔法师家,MagicianHouse,魔法師家,MagicianHouse,MagicianHouse,MagicianHouse,MagicianHouse,MagicianHouse,MagicianHouse
WEA_SLOT,SLOT-WEA_SLOT-HanselAndGretel,汉赛尔与葛丽特,HanselandGretel,漢賽爾與葛麗特,HanselandGretel,HanselandGretel,HanselandGretel,HanselandGretel,HanselandGretel,HanselandGretel
WEA_SLOT,SLOT-WEA_SLOT-TheBoyWhoCriedWolf,狼来了,TheBoyWhoCriedWolf,狼來了,TheBoyWhoCriedWolf,TheBoyWhoCriedWolf,TheBoyWhoCriedWolf,TheBoyWhoCriedWolf,TheBoyWhoCriedWolf,TheBoyWhoCriedWolf
WEA_SLOT,SLOT-WEA_SLOT-Shennong,神农尝百草,ShenNong,神農嘗百草,ShenNong,ShenNong,ShenNong,ShenNong,ShenNong,ShenNong
WEA_SLOT,SLOT-WEA_SLOT-AgentAngels,特务娇娃,AgentAngels,特務嬌娃,AgentAngels,AgentAngels,AgentAngels,AgentAngels,AgentAngels,AgentAngels
WEA_SLOT,SLOT-WEA_SLOT-LuckyTumbler,招财不倒翁,LuckyTumbler,招財不倒翁,LuckyTumbler,LuckyTumbler,LuckyTumbler,LuckyTumbler,LuckyTumbler,LuckyTumbler
WEA_SLOT,SLOT-WEA_SLOT-MidasTouch,点石成金,MidasTouch,點石成金,MidasTouch,MidasTouch,MidasTouch,MidasTouch,MidasTouch,MidasTouch
WEA_SLOT,SLOT-WEA_SLOT-Golden777,金牌777,Golden777,金牌777,Golden777,Golden777,Golden777,Golden777,Golden777,Golden777
WEA_SLOT,SLOT-WEA_SLOT-WildVick2,熊孩子2 冒险旅程,WildVick2AdventureJourney,熊孩子2 冒險旅程,WildVick2AdventureJourney,WildVick2AdventureJourney,WildVick2AdventureJourney,WildVick2AdventureJourney,WildVick2AdventureJourney,WildVick2AdventureJourney
WEA_SLOT,SLOT-WEA_SLOT-EasterEggParty,彩蛋派对,EasterEggParty,彩蛋派對,EasterEggParty,EasterEggParty,EasterEggParty,EasterEggParty,EasterEggParty,EasterEggParty
WEA_SLOT,SLOT-WEA_SLOT-FuShenlong,福神龙,FuShenlong,福神龍,FuShenlong,FuShenlong,FuShenlong,FuShenlong,FuShenlong,FuShenlong
WEA_SLOT,SLOT-WEA_SLOT-LuckyInn,特级餐馆,LuckyInn,特級餐館,LuckyInn,LuckyInn,LuckyInn,LuckyInn,LuckyInn,LuckyInn
WEA_SLOT,SLOT-WEA_SLOT-MirrorHouse,伯爵夫人,MirrorHouse,伯爵夫人,MirrorHouse,MirrorHouse,MirrorHouse,MirrorHouse,MirrorHouse,MirrorHouse
WEA_SLOT,SLOT-WEA_SLOT-MonkeyManiac,猴子也疯狂,MonkeyManiac,猴子也瘋狂,MonkeyManiac,MonkeyManiac,MonkeyManiac,MonkeyManiac,MonkeyManiac,MonkeyManiac
WEA_SLOT,SLOT-WEA_SLOT-WhaleWild,鲸银岛,WhaleWild,鯨銀島,WhaleWild,WhaleWild,WhaleWild,WhaleWild,WhaleWild,WhaleWild
WEA_SLOT,SLOT-WEA_SLOT-PiedPiper,吹笛人,PiedPiper,吹笛人,PiedPiper,PiedPiper,PiedPiper,PiedPiper,PiedPiper,PiedPiper
WEA_SLOT,SLOT-WEA_SLOT-SuperSlime,超能史莱姆,SuperSlime,超能史萊姆,SuperSlime,SuperSlime,SuperSlime,SuperSlime,SuperSlime,SuperSlime
WEA_SLOT,SLOT-WEA_SLOT-HongKong60s,花样年华,HongKong60s,花樣年華,HongKong60s,HongKong60s,HongKong60s,HongKong60s,HongKong60s,HongKong60s
WEA_SLOT,SLOT-WEA_SLOT-Atlantide,亚特兰提斯,Atlantide,亞特蘭提斯,Atlantide,Atlantide,Atlantide,Atlantide,Atlantide,Atlantide
